Episode,Agent,Position,Total Reward
84,Agent_3,"(9, 9)",-36
85,Agent_0,"(9, 9)",-32
85,Agent_1,"(9, 9)",-75
85,Agent_2,"(9, 9)",-54
85,Agent_3,"(9, 9)",-36
86,Agent_0,"(9, 9)",-25
86,Agent_1,"(9, 9)",-29
86,Agent_2,"(9, 9)",-24
86,Agent_3,"(9, 9)",-34
87,Agent_0,"(9, 9)",-30
87,Agent_1,"(9, 9)",-8
87,Agent_2,"(9, 9)",-14
87,Agent_3,"(9, 9)",-49
88,Agent_0,"(9, 9)",-2
88,Agent_1,"(9, 9)",-5
88,Agent_2,"(9, 9)",-42
88,Agent_3,"(9, 9)",-49
89,Agent_0,"(9, 9)",-3
89,Agent_1,"(9, 9)",-39
89,Agent_2,"(9, 9)",-31
89,Agent_3,"(9, 9)",-12
90,Agent_0,"(9, 9)",-49
90,Agent_1,"(9, 9)",-44
90,Agent_2,"(9, 9)",-21
90,Agent_3,"(9, 9)",-13
91,Agent_0,"(9, 9)",-46
91,Agent_1,"(9, 9)",-9
91,Agent_2,"(9, 9)",-46
91,Agent_3,"(9, 9)",-12
92,Agent_0,"(9, 9)",-25
92,Agent_1,"(9, 9)",-17
92,Agent_2,"(9, 9)",-32
92,Agent_3,"(9, 9)",-15
93,Agent_0,"(9, 9)",-11
93,Agent_1,"(9, 9)",-28
93,Agent_2,"(9, 9)",-6
93,Agent_3,"(9, 9)",-44
94,Agent_0,"(9, 9)",-10
94,Agent_1,"(9, 9)",0
94,Agent_2,"(9, 9)",0
94,Agent_3,"(9, 9)",0
95,Agent_0,"(9, 9)",-38
95,Agent_1,"(9, 9)",-75
95,Agent_2,"(9, 9)",-24
95,Agent_3,"(9, 9)",-51
96,Agent_0,"(9, 9)",-24
96,Agent_1,"(9, 9)",-51
96,Agent_2,"(9, 9)",-57
96,Agent_3,"(9, 9)",-11
97,Agent_0,"(9, 9)",-57
97,Agent_1,"(9, 9)",-63
97,Agent_2,"(9, 9)",-52
97,Agent_3,"(9, 9)",-45
98,Agent_0,"(9, 9)",-22
98,Agent_1,"(9, 9)",-11
98,Agent_2,"(9, 9)",-63
98,Agent_3,"(9, 9)",-9
99,Agent_0,"(9, 9)",-30
99,Agent_1,"(9, 9)",-14
99,Agent_2,"(9, 9)",-5
99,Agent_3,"(9, 9)",-18
100,Agent_0,"(9, 9)",-11
100,Agent_1,"(9, 9)",-32
100,Agent_2,"(9, 9)",-7
100,Agent_3,"(9, 9)",-31
101,Agent_0,"(9, 9)",-52
101,Agent_1,"(9, 9)",-14
101,Agent_2,"(9, 9)",-22
101,Agent_3,"(9, 9)",-41
102,Agent_0,"(9, 9)",-28
102,Agent_1,"(9, 9)",-31
102,Agent_2,"(9, 9)",-40
102,Agent_3,"(9, 9)",-50
103,Agent_0,"(9, 9)",-20
103,Agent_1,"(9, 9)",-23
103,Agent_2,"(9, 9)",-43
103,Agent_3,"(9, 9)",-25
104,Agent_0,"(9, 9)",-37
104,Agent_1,"(9, 9)",-8
104,Agent_2,"(9, 9)",-13
104,Agent_3,"(9, 9)",-21
105,Agent_0,"(9, 9)",-12
105,Agent_1,"(9, 9)",-38
105,Agent_2,"(9, 9)",-32
105,Agent_3,"(9, 9)",-21
106,Agent_0,"(9, 9)",-5
106,Agent_1,"(9, 9)",-10
106,Agent_2,"(9, 9)",-33
106,Agent_3,"(9, 9)",-11
107,Agent_0,"(9, 9)",-25
107,Agent_1,"(9, 9)",-18
107,Agent_2,"(9, 9)",-36
107,Agent_3,"(9, 9)",-29
108,Agent_0,"(9, 9)",-27
108,Agent_1,"(9, 9)",-19
108,Agent_2,"(9, 9)",-17
108,Agent_3,"(9, 9)",-15
109,Agent_0,"(9, 9)",-67
109,Agent_1,"(9, 9)",-14
109,Agent_2,"(9, 9)",-7
109,Agent_3,"(9, 9)",-34
110,Agent_0,"(9, 9)",-23
110,Agent_1,"(9, 9)",-35
110,Agent_2,"(9, 9)",-7
110,Agent_3,"(9, 9)",-9
111,Agent_0,"(9, 9)",-9
111,Agent_1,"(9, 9)",-12
111,Agent_2,"(9, 9)",-14
111,Agent_3,"(9, 9)",-26
112,Agent_0,"(9, 9)",-18
112,Agent_1,"(9, 9)",-16
112,Agent_2,"(9, 9)",-42
112,Agent_3,"(9, 9)",-10
113,Agent_0,"(9, 9)",-13
113,Agent_1,"(9, 9)",-19
113,Agent_2,"(9, 9)",-28
113,Agent_3,"(9, 9)",-48
114,Agent_0,"(9, 9)",-4
114,Agent_1,"(9, 9)",-13
114,Agent_2,"(9, 9)",-12
114,Agent_3,"(9, 9)",-21
115,Agent_0,"(9, 9)",-17
115,Agent_1,"(9, 9)",-24
115,Agent_2,"(9, 9)",-12
115,Agent_3,"(9, 9)",-33
116,Agent_0,"(9, 9)",-19
116,Agent_1,"(9, 9)",-24
116,Agent_2,"(9, 9)",-27
116,Agent_3,"(9, 9)",-25
117,Agent_0,"(9, 9)",-59
117,Agent_1,"(9, 9)",-19
117,Agent_2,"(9, 9)",-32
117,Agent_3,"(9, 9)",-8
118,Agent_0,"(9, 9)",-12
118,Agent_1,"(9, 9)",-50
118,Agent_2,"(9, 9)",-24
118,Agent_3,"(9, 9)",-8
119,Agent_0,"(9, 9)",-25
119,Agent_1,"(9, 9)",-48
119,Agent_2,"(9, 9)",-23
119,Agent_3,"(9, 9)",-26
120,Agent_0,"(9, 9)",-41
120,Agent_1,"(9, 9)",-34
120,Agent_2,"(9, 9)",-22
120,Agent_3,"(9, 9)",-14
121,Agent_0,"(9, 9)",-11
121,Agent_1,"(9, 9)",-23
121,Agent_2,"(9, 9)",-28
121,Agent_3,"(9, 9)",-38
122,Agent_0,"(9, 9)",-28
122,Agent_1,"(9, 9)",-23
122,Agent_2,"(9, 9)",-16
122,Agent_3,"(9, 9)",-29
123,Agent_0,"(9, 9)",-30
123,Agent_1,"(9, 9)",-12
123,Agent_2,"(9, 9)",-15
123,Agent_3,"(9, 9)",-14
124,Agent_0,"(9, 9)",-2
124,Agent_1,"(9, 9)",-18
124,Agent_2,"(9, 9)",-31
124,Agent_3,"(9, 9)",-19
125,Agent_0,"(9, 9)",-2
125,Agent_1,"(9, 9)",-29
125,Agent_2,"(9, 9)",-29
125,Agent_3,"(9, 9)",-42
126,Agent_0,"(9, 9)",-34
126,Agent_1,"(9, 9)",-7
126,Agent_2,"(9, 9)",-1
126,Agent_3,"(9, 9)",-19
127,Agent_0,"(9, 9)",-29
127,Agent_1,"(9, 9)",-16
127,Agent_2,"(9, 9)",-41
127,Agent_3,"(9, 9)",-16
128,Agent_0,"(9, 9)",-39
128,Agent_1,"(9, 9)",-26
128,Agent_2,"(9, 9)",-9
128,Agent_3,"(9, 9)",-4
129,Agent_0,"(9, 9)",-2
129,Agent_1,"(9, 9)",-14
129,Agent_2,"(9, 9)",-10
129,Agent_3,"(9, 9)",-31
130,Agent_0,"(9, 9)",-40
130,Agent_1,"(9, 9)",-11
130,Agent_2,"(9, 9)",-11
130,Agent_3,"(9, 9)",-20
131,Agent_0,"(9, 9)",-15
131,Agent_1,"(9, 9)",-12
131,Agent_2,"(9, 9)",-31
131,Agent_3,"(9, 9)",-4
132,Agent_0,"(9, 9)",-17
132,Agent_1,"(9, 9)",-15
132,Agent_2,"(9, 9)",-14
132,Agent_3,"(9, 9)",-4
133,Agent_0,"(9, 9)",-18
133,Agent_1,"(9, 9)",1
133,Agent_2,"(9, 9)",-51
133,Agent_3,"(9, 9)",-11
134,Agent_0,"(9, 9)",-19
134,Agent_1,"(9, 9)",-28
134,Agent_2,"(9, 9)",-16
134,Agent_3,"(9, 9)",-10
135,Agent_0,"(9, 9)",-12
135,Agent_1,"(9, 9)",2
135,Agent_2,"(9, 9)",-3
135,Agent_3,"(9, 9)",-43
136,Agent_0,"(9, 9)",-29
136,Agent_1,"(9, 9)",-8
136,Agent_2,"(9, 9)",-3
136,Agent_3,"(9, 9)",-56
137,Agent_0,"(9, 9)",-5
137,Agent_1,"(9, 9)",-20
137,Agent_2,"(9, 9)",-15
137,Agent_3,"(9, 9)",-18
138,Agent_0,"(9, 9)",-5
138,Agent_1,"(9, 9)",-19
138,Agent_2,"(9, 9)",-26
138,Agent_3,"(9, 9)",-9
139,Agent_0,"(9, 9)",-16
139,Agent_1,"(9, 9)",-37
139,Agent_2,"(9, 9)",-43
139,Agent_3,"(9, 9)",-20
140,Agent_0,"(9, 9)",-11
140,Agent_1,"(9, 9)",-5
140,Agent_2,"(9, 9)",-16
140,Agent_3,"(9, 9)",-4
141,Agent_0,"(9, 9)",-8
141,Agent_1,"(9, 9)",-34
141,Agent_2,"(9, 9)",-29
141,Agent_3,"(9, 9)",-21
142,Agent_0,"(9, 9)",-23
142,Agent_1,"(9, 9)",-13
142,Agent_2,"(9, 9)",-47
142,Agent_3,"(9, 9)",-17
143,Agent_0,"(9, 9)",-17
143,Agent_1,"(9, 9)",-6
143,Agent_2,"(9, 9)",-7
143,Agent_3,"(9, 9)",-13
144,Agent_0,"(9, 9)",-19
144,Agent_1,"(9, 9)",-17
144,Agent_2,"(9, 9)",-1
144,Agent_3,"(9, 9)",-12
145,Agent_0,"(9, 9)",-5
145,Agent_1,"(9, 9)",-9
145,Agent_2,"(9, 9)",-4
145,Agent_3,"(9, 9)",-12
146,Agent_0,"(9, 9)",-4
146,Agent_1,"(9, 9)",-5
146,Agent_2,"(9, 9)",-21
146,Agent_3,"(9, 9)",-26
147,Agent_0,"(9, 9)",-33
147,Agent_1,"(9, 9)",-14
147,Agent_2,"(9, 9)",-10
147,Agent_3,"(9, 9)",-28
148,Agent_0,"(9, 9)",-19
148,Agent_1,"(9, 9)",-13
148,Agent_2,"(9, 9)",-9
148,Agent_3,"(9, 9)",-12
149,Agent_0,"(9, 9)",-29
149,Agent_1,"(9, 9)",-22
149,Agent_2,"(9, 9)",-22
149,Agent_3,"(9, 9)",-16
150,Agent_0,"(9, 9)",-4
150,Agent_1,"(9, 9)",-20
150,Agent_2,"(9, 9)",-20
150,Agent_3,"(9, 9)",-7
151,Agent_0,"(9, 9)",-36
151,Agent_1,"(9, 9)",-48
151,Agent_2,"(9, 9)",-17
151,Agent_3,"(9, 9)",-4
152,Agent_0,"(9, 9)",-9
152,Agent_1,"(9, 9)",-29
152,Agent_2,"(9, 9)",-30
152,Agent_3,"(9, 9)",-2
153,Agent_0,"(9, 9)",-23
153,Agent_1,"(9, 9)",-7
153,Agent_2,"(9, 9)",-2
153,Agent_3,"(9, 9)",-13
154,Agent_0,"(9, 9)",-7
154,Agent_1,"(9, 9)",-22
154,Agent_2,"(9, 9)",-15
154,Agent_3,"(9, 9)",-7
155,Agent_0,"(9, 9)",-15
155,Agent_1,"(9, 9)",-1
155,Agent_2,"(9, 9)",-21
155,Agent_3,"(9, 9)",-32
156,Agent_0,"(9, 9)",-9
156,Agent_1,"(9, 9)",-1
156,Agent_2,"(9, 9)",-25
156,Agent_3,"(9, 9)",-4
157,Agent_0,"(9, 9)",2
157,Agent_1,"(9, 9)",-23
157,Agent_2,"(9, 9)",0
157,Agent_3,"(9, 9)",-4
158,Agent_0,"(9, 9)",-15
158,Agent_1,"(9, 9)",-24
158,Agent_2,"(9, 9)",-16
158,Agent_3,"(9, 9)",-11
159,Agent_0,"(9, 9)",-9
159,Agent_1,"(9, 9)",-14
159,Agent_2,"(9, 9)",-9
159,Agent_3,"(9, 9)",-18
160,Agent_0,"(9, 9)",-22
160,Agent_1,"(9, 9)",-17
160,Agent_2,"(9, 9)",-13
160,Agent_3,"(9, 9)",-27
161,Agent_0,"(9, 9)",-29
161,Agent_1,"(9, 9)",-10
161,Agent_2,"(9, 9)",-11
161,Agent_3,"(9, 9)",-6
162,Agent_0,"(9, 9)",-23
162,Agent_1,"(9, 9)",-6
162,Agent_2,"(9, 9)",-37
162,Agent_3,"(9, 9)",-5
163,Agent_0,"(9, 9)",-1
163,Agent_1,"(9, 9)",-17
163,Agent_2,"(9, 9)",-13
163,Agent_3,"(9, 9)",-28
164,Agent_0,"(9, 9)",-12
164,Agent_1,"(9, 9)",2
164,Agent_2,"(9, 9)",-1
164,Agent_3,"(9, 9)",-25
165,Agent_0,"(9, 9)",-12
165,Agent_1,"(9, 9)",-30
165,Agent_2,"(9, 9)",-21
165,Agent_3,"(9, 9)",-24
166,Agent_0,"(9, 9)",-9
166,Agent_1,"(9, 9)",-22
166,Agent_2,"(9, 9)",-15
166,Agent_3,"(9, 9)",-22
167,Agent_0,"(9, 9)",-8
167,Agent_1,"(9, 9)",-25
167,Agent_2,"(9, 9)",-6
167,Agent_3,"(9, 9)",-8
168,Agent_0,"(9, 9)",-5
168,Agent_1,"(9, 9)",-5
168,Agent_2,"(9, 9)",-4
168,Agent_3,"(9, 9)",-41
169,Agent_0,"(9, 9)",-20
169,Agent_1,"(9, 9)",-5
169,Agent_2,"(9, 9)",-15
169,Agent_3,"(9, 9)",0
170,Agent_0,"(9, 9)",-18
170,Agent_1,"(9, 9)",-10
170,Agent_2,"(9, 9)",-11
170,Agent_3,"(9, 9)",-27
171,Agent_0,"(9, 9)",-1
171,Agent_1,"(9, 9)",-7
171,Agent_2,"(9, 9)",-21
171,Agent_3,"(9, 9)",-9
172,Agent_0,"(9, 9)",-3
172,Agent_1,"(9, 9)",-12
172,Agent_2,"(9, 9)",-5
172,Agent_3,"(9, 9)",-14
173,Agent_0,"(9, 9)",0
173,Agent_1,"(9, 9)",-2
173,Agent_2,"(9, 9)",-12
173,Agent_3,"(9, 9)",-15
174,Agent_0,"(9, 9)",-12
174,Agent_1,"(9, 9)",-17
174,Agent_2,"(9, 9)",-5
174,Agent_3,"(9, 9)",-6
175,Agent_0,"(9, 9)",-7
175,Agent_1,"(9, 9)",-6
175,Agent_2,"(9, 9)",-4
